stock_code,isin_code,company_name,industry,company_description
2464,JP3800290003,株式会社ビジネス・ブレークスルー,サービス業,CS放送やネットで社会人教育。経営実務が主体。自己啓発や企業研修も。
2467,JP3778370001,株式会社バルクホールディングス,サービス業,ネット・マーケティング調査、情報セキュリティのコンサルが主体。サイバー防衛事業に参入。
2468,JP3826260006,株式会社フュートレック,サービス業,情報端末・家電向け音声認識アプリが主力。グローリーと発話検知技術を開発。
2469,JP3793200001,ヒビノ株式会社,サービス業,映像・音響設備提供サービスが主力。欧米ブランド機器の輸入販売にも強み。
2471,JP3163900008,株式会社エスプール,サービス業,コールセンター等への人材派遣が軸。倉庫軽作業の受託や障害者雇用の支援も。
2475,JP3505940001,ＷＤＢホールディングス株式会社,サービス業,技術系人材派遣。理学系研究職・補助職向けでトップ。医薬品開発受託も。
2477,JP3783300001,手間いらず株式会社,情報・通信業,ホテルの予約管理システム販売。証券会社・航空券など商品・サービス比較サイト運営。
2479,JP3386260008,株式会社ジェイテック,サービス業,技術者派遣、請負事業が主力。設計開発中心で車、電機、半導体分野に強み。
2480,JP3351080001,システム・ロケーション株式会社,情報・通信業,自動車金融・販売の支援システム主力。中古車データ分析に強み。顧客にリース会社。
2481,JP3452300001,株式会社タウンニュース社,サービス業,神奈川・町田で無料地域情報紙発行、宅配。広告枠販売が収益源。ネット連携。
2483,JP3854900002,株式会社翻訳センター,サービス業,翻訳専門会社。産業翻訳で最大手。特許や医薬分野に強み。通訳事業も。
2484,JP3952870008,株式会社出前館,情報・通信業,飲食店出前サイト「出前館」運営。酒類のネットスーパーや配達代行も。LINEヤフー傘下。
2485,JP3539150007,株式会社ティア,サービス業,名古屋から関東・関西展開の葬儀社。相談サロン、家族葬ホールや墓石販売も。
2487,JP3347020004,株式会社ＣＤＧ,サービス業,企業の販促グッズを企画製造販売。ウェブやイベントを強化。マーケティング支援も。
2488,JP3710700000,ＪＴＰ株式会社,サービス業,外資系IT企業の保守点検受託からIT研修事業などにシフト。AIソフト開発も。
2489,JP3121970002,株式会社アドウェイズ,サービス業,PC・スマホ向けアフィリエイト広告で国内大手。広告自動配信ツール「UNICORN」が拡大。
2491,JP3778390009,バリューコマース株式会社,サービス業,アフィリエイト広告トップ級。LINEヤフー傘下。ヤフー出店者向け販売促進ソリューションが拡大。
2492,JP3153480003,株式会社インフォマート,サービス業,企業間取引をデジタル化するプラットフォームの運営。契約書サービスなども展開。
2493,JP3130420007,イーサポートリンク株式会社,サービス業,青果の流通管理システムを開発。イオングループ向け受託。業務代行、農業支援も。
2497,JP3758130003,ユナイテッド株式会社,サービス業,ネット系投資ベンチャーからDX関連にシフト。企業DX支援、プログラミング教育、広告も。
2498,JP3121120004,株式会社オリエンタルコンサルタンツホールディングス,サービス業,総合建設コンサル大手。官公庁からインフラ、防災、交通など受託。海外インフラ展開へ。
2499,JP3756080002,日本和装ホールディングス株式会社,サービス業,無料着物着付教室通じ、着物や和装小物の販売を仲介。手数料収入が柱。
2501,JP3320800000,サッポロホールディングス株式会社,食料品,ビール類で国内シェア4位。ポッカと統合。不動産に強み。外食や飲料も手がける。
2502,JP3116000005,アサヒグループホールディングス株式会社,食料品,ビール事業大手。傘下にアサヒ飲料、カルピス、ニッカなど。欧州ビール事業は再編。
2503,JP3258000003,キリンホールディングス株式会社,食料品,ビール大手。ビール類で首位級。医薬品強化し多角化推進。豪、アジアに展開。
2531,JP3459600007,宝ホールディングス株式会社,食料品,焼酎、みりん最大手。清酒「松竹梅」は高シェア。バイオ事業、海外で日本食材卸。
2533,JP3307400006,オエノンホールディングス株式会社,食料品,焼酎・清酒大手。酵素医薬品が成長。量販店のPB商品製造に積極的。
2540,JP3953800004,養命酒製造株式会社,食料品,慶長7年創業の薬用酒最大手。「養命酒」ブランド展開。筆頭株主は大正製薬。
2551,JP3874600004,マルサンアイ株式会社,食料品,大豆の食品加工会社。みそ・豆乳で大手。豆乳の高付加価値製品を拡充。
2573,JP3847800004,北海道コカ・コーラボトリング株式会社,食料品,大日印系で北海道が販売エリア。道内限定商品展開や他地域向け生産受託も。
2579,JP3293200006,コカ・コーラ　ボトラーズジャパンホールディングス株式会社,食料品,東西ボトラー統合により誕生。国内コカ・コーラボトラー最大手。青汁のキューサイ譲渡。
2585,JP3966680005,株式会社ライフドリンク　カンパニー,食料品,LDCブランドのミネラルウォーター、茶系飲料などの製造・販売を手掛ける。
2586,JP3828300008,株式会社フルッタフルッタ,食料品,ブラジル産フルーツ「アサイー」など輸入・販売。スーパー・コンビニ向けに飲料や冷食など。
2587,JP3336560002,サントリー食品インターナショナル株式会社,食料品,サントリー子会社で清涼飲料大手。缶コーヒーや茶飲料に強み。海外へ積極展開。
2588,JP3155450004,株式会社プレミアムウォーターホールディングス,食料品,家庭向け富士山天然水を製造・宅配。ボトル回収不要に特色。OEM供給も。
2590,JP3488400007,ダイドーグループホールディングス株式会社,食料品,総合飲料大手。自販機の販売比大。コーヒー飲料に強み。デザートや医薬関連も。
2593,JP3143000002,株式会社伊藤園,食料品,茶葉製品の最大手。緑茶飲料に強み。ルートセールス方式。傘下にタリーズコーヒー。
2594,JP3236300004,キーコーヒー株式会社,食料品,レギュラーコーヒー大手。業務用主体。インドネシアに直営農園。子会社にイタリアントマト。
2597,JP3950820005,株式会社ユニカフェ,食料品,UCC傘下コーヒー大手。レギュラーコーヒーを焙煎・加工、飲料メーカーに卸。傘下にアートコーヒー。
2599,JP3389650007,ジャパンフーズ株式会社,食料品,伊藤忠系、飲料の受託生産大手。炭酸飲料に強み。低アルコールやスポーツ飲料も。
2602,JP3677200002,日清オイリオグループ株式会社,食料品,食用油大手。日清、リノール、ニッコーが統合。家庭用高シェア。美容、健康、介護食品も。
2607,JP3816400000,不二製油グループ本社株式会社,食料品,油脂大手。業務用チョコは世界大手。製菓向けに強み。大豆タンパク食品も。
2612,JP3214400008,かどや製油株式会社,食料品,ごま油最大手。食品ごま製造・販売も。仕入・販売で三菱商事・三井物と密接。
2613,JP3840000008,株式会社Ｊ－オイルミルズ,食料品,食用油大手。ホーネン・味の素製油・吉原製油が統合。業務用高シェア。アジア注力。
2651,JP3982100004,株式会社ローソン,小売業,三菱商事傘下のコンビニ大手。エンタメ関連事業、高級スーパー「成城石井」も運営。
2652,JP3879700007,株式会社まんだらけ,小売業,マンガ専門古書販売の最大手。キャラクターグッズや玩具販売も。市場の標準値に。
2653,JP3245400001,イオン九州株式会社,小売業,イオン系列。九州で大型店中心に総合スーパー、ホームセンター展開。九州の系列店統合。
2654,JP3384720003,株式会社アスモ,小売業,介護・給食事業が主力。食肉卸、短期保険事業も。海外で外食事業を展開。
2656,JP3835400007,株式会社ベクター,小売業,ビジネス・ソフト販売。パソコン向けが主力。ソフトバンク傘下で販売力を強化。
2659,JP3324500002,株式会社サンエー,小売業,沖縄県内流通首位。スーパー、レストラン、ドラッグストアを展開。ローソンと提携。ニチリウG。
2664,JP3226450009,株式会社カワチ薬品,小売業,北関東・東北にドラッグチェーン展開。中大型店に注力。調剤、食品販売に強み。
2666,JP3172430005,株式会社オートウェーブ,小売業,千葉地盤の自動車用品店。タイヤ、車検、板金。新車リースを強化。業務スーパーFCも。
2667,JP3149400008,株式会社イメージ　ワン,卸売業,衛星画像販売、自社で開発の医療画像システムが主体。ドローンや医薬販売も。
2668,JP3506100001,タビオ株式会社,卸売業,靴下・タイツの企画販売大手。女性向け中心に直営とFCで「靴下屋」を展開。
2669,JP3217900004,カネ美食品株式会社,小売業,中部地盤に総菜・弁当を製造販売。総菜店運営も。ファミマとPPIHDが株主。
2670,JP3152740001,株式会社エービーシー・マート,小売業,靴小売店「ABCマート」を全国展開。スポーツ、カジュアルが軸。海外出店を強化。
